Nr,Kod stacji,Kod międzynarodowy,Nazwa stacji,"Stary Kod stacji (o ile inny od aktualnego)",Data uruchomienia,Data zamknięcia,Typ stacji,Typ obszaru,Rodzaj stacji,Województwo,Miejscowość,Adres,WGS84 φ N,WGS84 λ E
1,DsBialka,,Białka,,1990-01-03,2005-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Białka,,51.197783,16.117390
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,,1994-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,50.682510,16.617348
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,2015-01-01,2015-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,50.940998,14.916790
4,DsBogChop,PL0315A,Bogatynia - Chopina,,1996-01-01,2013-12-31,przemysłowa,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,50.905856,14.967175
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,,2012-01-01,2012-12-31,przemysłowa,miejski,mobilna,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie",50.943245,14.913327
6,DsBoleslaMOB,PL0658A,Bolesławiec,,2017-01-01,2018-01-02,tło,miejski,mobilna,DOLNOŚLĄSKIE,Bolesławiec,ul. Juliusza Słowackiego 2,51.263245,15.570354
7,DsBrzegGlog,,Brzeg Głogowski,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Brzeg Głogowski,,51.691438,15.917840
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",,2004-01-06,2005-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,51.268889,15.940278
9,DsCzar07,PL0186A,Czarna Góra,,1996-12-01,2008-09-30,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czarna Góra,,50.255072,16.801641
10,DsCzerStraza,PL0028A,Czerniawa,DsCzer02,1996-07-01,,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,50.912475,15.312190
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,,2013-01-01,2013-12-31,tło,pozamiejski,mobilna,DOLNOŚLĄSKIE,Czarny Las,,51.541658,16.937064
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,,2019-01-01,2019-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,,1993-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.382470
14,DsDzialoszyn,PL0054A,Działoszyn,DsDzia01,1996-07-01,2022-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Działoszyn,,50.972167,14.941319
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",DsDzierPilsA,2005-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.648050
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,,1986-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647286
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,,2014-01-01,2014-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,51.657022,16.097822
18,DsGlogNorw,PL0188A,Głogów - Norwida,,2011-01-01,2014-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657130,16.086188
19,DsGlogNorwArch,,Głogów - Norwida Arch,,1994-01-01,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657152,16.086183
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",,1980-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,51.648546,16.092286
21,DsGlogowko,,Głogówko,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Głogówko,,51.731824,16.097768
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",,2003-10-01,2013-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,51.664508,16.040822
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",DsGlogWita,2015-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,51.657022,16.097822
24,DsGrodziec,,Grodziec Mały,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Grodziec Mały,,51.687496,16.073213
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,,1996-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,50.873692,14.954236
26,DsJawDmow,,Jawor - Dmowskiego,,1994-01-03,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,51.057121,16.179854
27,DsJaworMOB,PL0734A,Jawor,,2019-01-01,2019-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jawor,ul. Armii Krajowej 9,51.049212,16.202317
28,DsJedlinaZdrMOB,PL0803A,"Jedlina-Zdrój, ul. Piastowska",,2022-01-13,2023-01-04,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jedlina-Zdrój,Piastowska 6,50.720620,16.349016
29,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,,1993-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481
30,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",DsJeleniaGoraA,2014-10-20,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,50.913433,15.765608
31,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",DsJeleniaGoraPM,2014-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947
32,DsJelw05,PL0026A,Jeleniów,,1996-07-01,2009-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jeleniów,,51.224843,15.232984
33,DsJgCiep,,Jelenia Góra - Cieplice,,1982-01-02,2004-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788
34,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),,2005-01-01,2013-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Cervi 14,50.861853,15.678761
35,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),,2011-01-01,2011-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629
36,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),,2004-01-05,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629
37,DsJgScieg,,Jelenia Góra - Ściegiennego,,1995-01-11,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301
38,DsJgWoln,,Jelenia Góra - Wolności,,1993-01-03,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Jelenia Góra,ul. Wolności 139,50.885634,15.717597
39,DsJgZabob,,Jelenia Góra - Zabobrze,,1992-01-04,2006-04-30,tło,miejski,mobilna,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego,50.914470,15.764693
40,DsKalinowka,PL0261A,Kalinówka,,2003-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kalinowka,,51.522600,16.244147
41,DsKamGoraMOB,PL0730A,Kamienna Góra,,2020-01-08,2020-12-30,tło,miejski,mobilna,DOLNOŚLĄSKIE,Kamienna Góra,Wałbrzyska 2c,50.788079,16.035122
42,DsKawice,,Kawice,,2003-01-06,2003-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kawice,,51.230833,16.428889
43,DsKgMob,,Kamienna Góra - Mobil Horiba,,2008-01-01,2008-05-05,tło,miejski,mobilna,DOLNOŚLĄSKIE,Kamienna Góra,ul. Szpitalna,50.786873,16.029129
44,DsKgSien,,Kamienna Góra - Sienkiewicza,,1995-01-04,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155
45,DsKlodzOkrz,,Kłodzko - ul. Okrzei,,1987-01-02,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kłodzko,ul. Okrzei 16,50.433389,16.650177
46,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",DsKlodzkoA,2009-06-05,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kłodzko,ul. Szkolna 8,50.433493,16.653660
47,DsKobierz,,Kobierzyce - Robotnicza,,2003-01-30,2003-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kobierzyce,ul. Robotnicza 19,50.968056,16.928056
48,DsKostrzaMOB,PL0777A,Kostrza,DsZabkowSemi,2021-01-23,2021-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kostrza,ul. Żeromskiego 22,50.981906,16.266522
49,DsKowMaj,,Kowary - 1-go Maja,,2001-01-15,2002-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kowary,ul. 1 Maja 1,50.793145,15.835843
50,DsKozDoly,,Kozie Doły,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Kozie Doły,,51.727524,16.025971
51,DsKromolin,PL0262A,Kromolin,,2003-10-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Kromolin,,51.684959,15.894901
52,DsKudowaMOB,PL0659A,Kudowa-Zdrój,,2017-01-01,2018-01-03,tło,miejski,mobilna,DOLNOŚLĄSKIE,Kudowa-Zdrój,Tadeusza Kościuszki 16,50.447096,16.238509
53,DsKudSlon,,Kudowa Zdrój - ul. Słoneczna,,1999-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Kudowa-Zdrój,ul. Słoneczna 17,50.439976,16.248312
54,DsLadekMOB,PL0686A,Lądek-Zdrój,,2018-01-17,2018-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Lądek-Zdrój,Św. Królowej Jadwigi,50.341864,16.889899
55,DsLadekWol,,Lądek Zdrój - ul. Wolności,,1992-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Lądek-Zdrój,ul. Wolności 4,50.345683,16.888804
56,DsLegAlRzecz,PL0190A,"Legnica, al. Rzeczypospolitej",DsLegRzeczA,2004-10-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,al. Rzeczypospolitej 10/12,51.204503,16.180513
57,DsLegIwasz,,Legnica - Iwaszkiewicza,,1997-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Legnica,ul. Iwaszkiewicza 5,51.208189,16.216706
58,DsLegJaworz,,Legnica - Jaworzyńska,,1984-01-01,2003-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Jaworzyńska,51.191168,16.156159
59,DsLegKsiez,,Legnica - Księżycowa,,1996-10-01,2006-04-30,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Księżycowa 14,51.208727,16.190277
60,DsLegMick,,Legnica - Mickiewicza,,1996-01-01,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Legnica,ul. Mickiewicza 24,51.202831,16.164608
61,DsLegPolarna,PL0738A,"Legnica, ul. Polarna",DsLegRzeczA,2019-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Legnica,ul. Polarna 1,51.208104,16.183784
62,DsLegPoraz,PL0540A,Legnica - Porazińskiej,,2011-01-01,2013-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Porazińskiej,51.193519,16.135192
63,DsLegRzecz,,Legnica - Aleja Rzeczypospolitej,,1999-01-09,2005-02-10,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204196,16.179819
64,DsLegRzeczPM,,"Legnica, al. Rzeczypospolitej (PSSE)",,2005-01-01,2007-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Legnica,ul. Rzeczypospolitej,51.204230,16.180763
65,DsLegSmok,PL0301A,Legnica - Smokowicka,,2003-01-01,2010-12-31,przemysłowa,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Smokowicka,51.180776,16.098375
66,DsLegZlotor,PL0263A,Legnica - Złotoryjska,,1996-01-03,2010-12-31,przemysłowa,podmiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Legnica,ul. Złotoryjska,51.188018,16.129061
67,DsLesnaRyn,,Leśna - Rynek,,1994-01-02,2002-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Leśna,ul. Rynek 19,51.023029,15.263245
68,DsLubanMieszMOB,PL0747A,Lubań - Mieszka II,,2019-01-01,2021-06-02,tło,miejski,mobilna,DOLNOŚLĄSKIE,Lubań,ul. Mieszka II 1,51.119011,15.275539
69,DsLubanMOB,PL0687A,Lubań - Łączna,,2018-01-11,2018-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Lubań,ul. Łączna,51.118412,15.285835
70,DsLubanRyn,,Lubań - Rynek,,1994-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Lubań,ul. Rynek 19,51.120172,15.290536
71,DsLubanZaw,,Lubań - Zawidowska,,1993-01-03,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Lubań,ul. Zawidowska 4,51.116600,15.272080
72,DsLubinMaj,PL0056A,Lubin - 1-go Maja,,1998-01-01,2009-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Lubin,ul. 1 Maja 15,51.398416,16.199642
73,DsLubinMob,PL0577A,Lubin - Mobil Mercedes,,2012-01-01,2012-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa,51.406741,16.187307
74,DsLubinSowia,,"Lubin,ul.Sowia",,2004-01-06,2005-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Lubin,ul. Sowia,51.380000,16.212564
75,DsLubiWierzb,PL0632A,Lubin - Wierzbowa,,2016-01-01,2016-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Lubin,ul. Wierzbowa 70,51.406505,16.188329
76,DsLwowekPart,,Lwówek Śl.- Partyzantów,,1994-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Lwówek Śląski,ul. Partyzantów 6,51.111733,15.579598
77,DsLwowekSlasMOB,PL0804A,"Lwówek Śląski, al. Wojska Polskiego",,2022-01-13,2023-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Lwówek Śląski,al. Wojska Polskiego,51.113033,15.585239
78,DsMiliczMOB,PL0778A,Milicz,,2021-01-08,2021-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Milicz,ul. Armii Krajowej 7,51.527850,17.276844
79,DsNowRudJezi,PL0745A,"Nowa Ruda, ul. Jeziorna",DsNRudaSrebP,2019-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Nowa Ruda,ul. Jeziorna 19,50.581492,16.498245
80,DsNowRudSreb,PL0191A,Nowa Ruda - Srebrna,DsNRudaSrebP,2011-01-01,2018-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579914,16.514422
81,DsNRudaPil,,Nowa Ruda - ul. Piłsudskiego,,2000-01-02,2003-07-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Nowa Ruda,ul. Piłsudskiego 14,50.583890,16.502458
82,DsNRudaSlupPM,,Nowa Ruda - Słupiec (PM10),,2005-03-01,2006-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Nowa Ruda - Słupiec,ul. Wiejska 15,50.550008,16.553645
83,DsNRudaSrebA,,Nowa Ruda - ul. Srebrna (AUT),,2005-01-01,2010-12-31,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna,50.579924,16.514303
84,DsNRudaSrebPArch,,Nowa Ruda - ul. Srebrna (PM10-Arch),,2003-06-06,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Nowa Ruda,ul. Srebrna 1a,50.579913,16.514422
85,DsOla3Maj,,Oława - 3 Maja,,1978-01-01,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Oława,ul. 3 Maja 1A,50.945755,17.296150
86,DsOlawZolnAK,PL0317A,"Oława, ul. Żołnierzy Armii Krajowej",DsOlawaSemi,2008-07-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Oława,ul. Żołnierzy AK 9,50.942073,17.291333
87,DsOlesBrzozo,PL0476A,"Oleśnica, ul. Brzozowa",DsOlesnicaPM,2011-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217483,17.389997
88,DsOlesnicaPM-Arch,,Oleśnica - Brzozowa (PM10-Arch),,2009-01-01,2009-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Oleśnica,ul. Brzozowa 7,51.217494,17.389998
89,DsOlesRyn,,Oleśnica - Rynek,,1995-01-01,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Oleśnica,ul. Rynek Ratusz 12,51.209491,17.379688
90,DsOsieczow21,PL0505A,Osieczów,DsOsieczow,2010-01-01,,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Osieczów,,51.317630,15.431719
91,DsPolanPark,,Polanica Zdrój - ul. Parkowa,,1994-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Parkowa 4,50.407434,16.511192
92,DsPolanSportMOB,PL0633A,Polanica-Zdrój,,2016-01-01,2017-01-09,tło,miejski,mobilna,DOLNOŚLĄSKIE,Polanica-Zdrój,ul. Sportowa,50.415758,16.513058
93,DsPolanZdrojMOB,PL0835A,Polanica-Zdrój al. Zwycięzców,,2023-01-11,2023-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Polanica-Zdrój,al. Zwycięzców,50.398834,16.513855
94,DsPolKasztan,PL0057A,"Polkowice, ul. Kasztanowa",DsPolkKasz,2004-05-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Polkowice,ul. Kasztanowa 29,51.502370,16.075051
95,DsPolkDabr,,Polkowice - Dąbrowskiego,,1994-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Polkowice,ul. Dąbrowskiego,51.503659,16.075061
96,DsPrzerzZdr,,Przerzeczyn Zdrój - ul. Zdrojowa,,1994-01-02,2003-12-31,tło,pozamiejski,w budynku,DOLNOŚLĄSKIE,Przerzeczyn-Zdrój,ul. Zdrojowa 31,50.685276,16.831781
97,DsRadomierz,PL0318A,Radomierzyce,,1996-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Radomierzyce,,51.058300,14.973735
98,DsRudna,PL0265A,Rudna,,2003-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Rudna,,51.512506,16.251711
99,DsRudnaWit,,Rudna - W.Witosa,,1992-10-01,2003-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Rudna,ul. W. Witosa,51.504339,16.261379
100,DsSlone,,Słone,,1980-01-01,2003-12-31,przemysłowa,pozamiejski,w budynku,DOLNOŚLĄSKIE,Słone,,51.661053,16.022652
101,DsSnie04,PL0058A,Śnieżne Kotły,,1996-07-01,2010-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Śnieżne Kotły,Śnieżne Kotły,50.778373,15.557425
102,DsSniezkaObs,PL0003R,Śnieżka,DsSniezka,2000-01-01,2023-12-31,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Karpacz,Śnieżka,50.736389,15.739722
103,DsSobczyce,PL0266A,Sobczyce,,2003-10-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Sobczyce,,51.702092,16.067231
104,DsSoko08,,Sokolec,,1996-11-01,2004-05-19,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Sokolec,,50.668056,16.475000
105,DsSpal06,,Spalona,,1996-11-15,2004-05-15,tło,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Spalona,,50.276570,16.538299
106,DsSrodaSlMOB,PL0726A,Środa Śląska,,2020-01-28,2021-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Środa Śląska,al. Konstytucji 3 Maja 7,51.166236,16.597559
107,DsStrzegomMOB,PL0838A,Strzegom,,2023-01-03,,tło,miejski,mobilna,DOLNOŚLĄSKIE,Strzegom,ul. A. Mickiewicza 2,50.969633,16.348469
108,DsStrzMob,PL0506A,Strzelin - Mobil Mercedes,,2010-01-01,2011-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Strzelin,ul. M.Konopnickiej 3,50.784386,17.079435
109,DsSwidnFolwa,PL0660A,"Świdnica, ul. Folwarczna",,2017-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Świdnica,ul. Folwarczna 2,50.844430,16.494006
110,DsSwidnMarciMOB,PL0604A,Świdnica - Marcinkowskiego MOB,DsSwidMob,2015-01-01,2015-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Świdnica,ul. Karola Marcinkowskiego 4-6,50.846559,16.466928
111,DsSwidnRynek,PL0059A,Świdnica - Rynek,DsSwidRynek,2011-01-01,2016-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.842364,16.486703
112,DsSwidRynekArch,,Świdnica - Rynek Arch,,2003-07-02,2009-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Świdnica,ul. Rynek 43,50.842360,16.486704
113,DsSwidWalb,,Świdnica - ul. Wałbrzyska,,1985-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Świdnica,ul. Wałbrzyska 15,50.838047,16.480395
114,DsSzczaKolej,PL0541A,"Szczawno-Zdrój, ul. Kolejowa",DsSzczDZPM,2012-01-01,,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kolejowa 14,50.804189,16.254111
115,DsSzczAzalMob,PL0578A,Szczawno-Zdrój - Azalia - Mobil,,2012-01-01,2012-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Klonowa,50.806472,16.253264
116,DsSzczKopPM,PL0267A,Szczawno Zdrój - ul. Kopernika (PM10),,2007-01-01,2011-12-31,tło,miejski,wolnostojący pobornik pyłu,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika 2,50.801538,16.250145
117,DsSzczMagMob,PL0579A,Szczawno-Zdrój - Magnolia - Mobil,,2012-01-01,2012-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Kopernika,50.801523,16.250182
118,DsSzczOgr,,Szczawno Zdrój - ul. Ogrodowa,,1993-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ogrodowa 5,50.805025,16.257246
119,DsSzczRat,PL0254A,Szczawno Zdrój - ul. Ratuszowa,,1983-04-01,2007-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Szczawno-Zdrój,ul. Ratuszowa 1,50.802699,16.254862
120,DsSzklarkiMob,PL0600A,Szklarki - Mobil,,2013-01-01,2013-12-31,tło,pozamiejski,mobilna,DOLNOŚLĄSKIE,Szklarki,,51.515908,15.747383
121,DsSzkPor1MajMOB,PL0634A,Szklarska Poręba - 1 Maja,,2016-01-01,2016-12-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Szklarska Poręba,ul. 1 Maja,50.822706,15.528251
122,DsTarnowek,PL0268A,Tarnówek,,2003-01-01,2013-12-31,przemysłowa,pozamiejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Tarnowek,,51.513299,16.166761
123,DsTrzebBoch,,Trzebnica-Bochenka,,2004-01-01,2005-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Trzebnica,ul. Ks.Bochenka,51.310278,17.062778
124,DsTrzebLes,,Trzebnica - Leśna,,1994-01-01,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Trzebnica,ul. Leśna,51.303889,17.070000
125,DsTrzebMob,,Trzebnica - Mobil Mercedes,,2008-04-01,2010-01-31,tło,miejski,mobilna,DOLNOŚLĄSKIE,Trzebnica,ul. Żołnierzy Września,51.305272,17.060139
126,DsTrzebniMaj,PL0779A,"Trzebnica, ul. 3 Maja",DsTrzebnica,2020-12-23,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Trzebnica,ul. 3 Maja,51.304817,17.071367
127,DsWalbBator,,Wałbrzych - ul. Batorego,,1975-01-02,2003-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wałbrzych,ul. Batorego 3,50.774028,16.278035
128,DsWalbGrodz,,Wałbrzych - ul. Grodzka,,1993-01-02,2004-12-31,tło,miejski,w budynku,DOLNOŚLĄSKIE,Wałbrzych,ul. Grodzka 73,50.823623,16.275474
129,DsWalbJord,PL0060A,Wałbrzych - ul. Jordana,,2001-01-02,2006-12-31,przemysłowa,miejski,w budynku,DOLNOŚLĄSKIE,Wałbrzych,ul. Jordana 4,50.759444,16.241389
130,DsWalbKost,,Wałbrzych - ul. Kosteckiego,,1983-01-02,2003-12-31,przemysłowa,miejski,w budynku,DOLNOŚLĄSKIE,Wałbrzych,ul. Kosteckiego 2,50.762702,16.244248
131,DsWalbrzWyso,PL0192A,"Wałbrzych, ul. Wysockiego",DsWalbWysA,2005-01-01,,tło,miejski,kontenerowa stacjonarna,DOLNOŚLĄSKIE,Wałbrzych,ul. Wysockiego 11,50.768729,16.269677
